Compound,Negative,Neutral Score,Positive,Tweet Number,Tweet Text
0.0,0.0,1.0,0.0,1,Conservative firebrand Jim Jordan is running for speaker of the House. Here's why. | Analysis by @CillizzaCNN… https://t.co/Sg6zSTA6Hl
0.0,0.0,1.0,0.0,2,A radio station in New Jersey took two midday show hosts off the air after they referred to the state's Sikh attorn… https://t.co/YIpcX2nIWK
0.452,0.0,0.871,0.129,3,This man built a floating bicycle so he could clean trash from a river in order to raise awareness about plastic po… https://t.co/tYMhmtUdgT
0.273,0.0,0.884,0.116,4,Former Trump administration aide Omarosa Manigault-Newman has an August surprise for the President and the public:… https://t.co/oTGEUM5rz5
-0.637,0.317,0.583,0.1,5,"New Zealand has passed legislation giving victims of domestic violence the right to ask for 
paid leave https://t.co/dnggo3cc1t"
0.402,0.0,0.87,0.13,6,Special counsel Robert Mueller has been reviewing President Trump's Twitter feed as part of the former FBI director… https://t.co/mxssbEBAEi
0.0,0.0,1.0,0.0,7,These aerial photos show human impact on Earth https://t.co/QuBdlOCJJ8 https://t.co/dLnQEgoz6u
-0.599,0.262,0.738,0.0,8,Corporate America is caught in the crossfire of trade war https://t.co/bgWHSDtaPP https://t.co/yFJeNHD7Wc
-0.533,0.168,0.832,0.0,9,She's an Instagram influencer. She's also not real -- but some brands don't seem to care https://t.co/G1SIPCedWo https://t.co/pzM3pi2TKC
0.0,0.0,1.0,0.0,10,"Dallas Cowboys owner Jerry Jones says that President Trump comments on the ongoing NFL anthem debate are ""problemat… https://t.co/Uv4WjY6d82"
0.0,0.0,1.0,0.0,11,You may think of the Antarctic as pristine wilderness. But it's already showing the effects of human activity thous… https://t.co/WC4wowo0hB
0.0,0.0,1.0,0.0,12,RT @CNNMoney: RadioShack is back. Kinda https://t.co/bGbdQsw6pf https://t.co/68OfpHB379
0.637,0.0,0.826,0.174,13,"Rep. Jim Jordan, a leader in the conservative House Freedom Caucus and former chairman of the group, says he will a… https://t.co/b12yiKKv9s"
-0.586,0.202,0.798,0.0,14,"President Trump and Vice President Mike Pence threaten to impose ""large sanctions"" on its NATO ally Turkey if the c… https://t.co/AlXB3BVFYU"
